,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
511,BEL,CPI,ENRG,AGRWTH,Jan-2018,2.985544
512,BEL,CPI,ENRG,AGRWTH,Feb-2018,2.029826
513,BEL,CPI,ENRG,AGRWTH,Mar-2018,1.113861
514,BEL,CPI,ENRG,AGRWTH,Apr-2018,2.624453
515,BEL,CPI,ENRG,AGRWTH,May-2018,4.77287
516,BEL,CPI,ENRG,AGRWTH,Jun-2018,6.880252
517,BEL,CPI,ENRG,AGRWTH,Jul-2018,9.191759
518,BEL,CPI,ENRG,AGRWTH,Aug-2018,9.924306
519,BEL,CPI,ENRG,AGRWTH,Sep-2018,9.872678
520,BEL,CPI,ENRG,AGRWTH,Oct-2018,13.75465
521,BEL,CPI,ENRG,AGRWTH,Nov-2018,12.5811
522,BEL,CPI,ENRG,AGRWTH,Dec-2018,8.854219
523,BEL,CPI,ENRG,AGRWTH,Jan-2019,6.632082
524,BEL,CPI,ENRG,AGRWTH,Feb-2019,7.135607
525,BEL,CPI,ENRG,AGRWTH,Mar-2019,8.77193
526,BEL,CPI,ENRG,AGRWTH,Apr-2019,6.504972
527,BEL,CPI,ENRG,AGRWTH,May-2019,5.504496
528,BEL,CPI,ENRG,AGRWTH,Jun-2019,2.230958
529,BEL,CPI,ENRG,AGRWTH,Jul-2019,-0.3193033
530,BEL,CPI,ENRG,AGRWTH,Aug-2019,-1.998852
531,BEL,CPI,ENRG,AGRWTH,Sep-2019,-2.925532
532,BEL,CPI,ENRG,AGRWTH,Oct-2019,-6.663035
533,BEL,CPI,ENRG,AGRWTH,Nov-2019,-7.285007
534,BEL,CPI,ENRG,AGRWTH,Dec-2019,-4.355514
535,BEL,CPI,ENRG,AGRWTH,Jan-2020,-1.173328
536,BEL,CPI,ENRG,AGRWTH,Feb-2020,-2.036949
537,BEL,CPI,ENRG,AGRWTH,Mar-2020,-3.366467
538,BEL,CPI,ENRG,AGRWTH,Apr-2020,-2.067651
539,BEL,CPI,ENRG,AGRWTH,May-2020,-2.944797
540,BEL,CPI,ENRG,AGRWTH,Jun-2020,-10.61334
541,BEL,CPI,ENRG,AGRWTH,Jul-2020,-9.143855
542,BEL,CPI,ENRG,AGRWTH,Aug-2020,-8.67571
543,BEL,CPI,ENRG,AGRWTH,Sep-2020,-9.178082
544,BEL,CPI,ENRG,AGRWTH,Oct-2020,-8.733709
545,BEL,CPI,ENRG,AGRWTH,Nov-2020,-9.459985
546,BEL,CPI,ENRG,AGRWTH,Dec-2020,-8.98122
547,BEL,CPI,ENRG,AGRWTH,Jan-2021,-8.484556
548,BEL,CPI,ENRG,AGRWTH,Feb-2021,-6.576402
549,BEL,CPI,ENRG,AGRWTH,Mar-2021,-3.803979
550,BEL,CPI,ENRG,AGRWTH,Apr-2021,-3.405332
551,BEL,CPI,ENRG,AGRWTH,May-2021,-2.068293
552,BEL,CPI,ENRG,AGRWTH,Jun-2021,10.79802
553,BEL,CPI,ENRG,AGRWTH,Jul-2021,14.65812
554,BEL,CPI,ENRG,AGRWTH,Aug-2021,17.1511
555,BEL,CPI,ENRG,AGRWTH,Sep-2021,19.37082
556,BEL,CPI,ENRG,AGRWTH,Oct-2021,30.86104
557,BEL,CPI,ENRG,AGRWTH,Nov-2021,46.39562
558,BEL,CPI,ENRG,AGRWTH,Dec-2021,41.98204
559,BEL,CPI,ENRG,AGRWTH,Jan-2022,60.85856
560,BEL,CPI,ENRG,AGRWTH,Feb-2022,60.99379
561,BEL,CPI,ENRG,AGRWTH,Mar-2022,57.2178
562,BEL,CPI,ENRG,AGRWTH,Apr-2022,54.10959
563,BEL,CPI,ENRG,AGRWTH,May-2022,56.80415
564,BEL,CPI,ENRG,AGRWTH,Jun-2022,55.98913
565,BEL,CPI,ENRG,AGRWTH,Jul-2022,49.1148
566,BEL,CPI,ENRG,AGRWTH,Aug-2022,49.81301
567,BEL,CPI,ENRG,AGRWTH,Sep-2022,60.54152
568,BEL,CPI,ENRG,AGRWTH,Oct-2022,63.02932
569,BEL,CPI,ENRG,AGRWTH,Nov-2022,36.07386
570,BEL,CPI,ENRG,AGRWTH,Dec-2022,32.88156
1082,BEL,CPI,ENRG,IDX2015,Jan-2018,111.2985
1083,BEL,CPI,ENRG,IDX2015,Feb-2018,111.5363
1084,BEL,CPI,ENRG,IDX2015,Mar-2018,110.9929
1085,BEL,CPI,ENRG,IDX2015,Apr-2018,111.5589
1086,BEL,CPI,ENRG,IDX2015,May-2018,113.325
1087,BEL,CPI,ENRG,IDX2015,Jun-2018,115.193
1088,BEL,CPI,ENRG,IDX2015,Jul-2018,117.0044
1089,BEL,CPI,ENRG,IDX2015,Aug-2018,118.3743
1090,BEL,CPI,ENRG,IDX2015,Sep-2018,119.1894
1091,BEL,CPI,ENRG,IDX2015,Oct-2018,124.7141
1092,BEL,CPI,ENRG,IDX2015,Nov-2018,125.7217
1093,BEL,CPI,ENRG,IDX2015,Dec-2018,121.6461
1094,BEL,CPI,ENRG,IDX2015,Jan-2019,118.6799
1095,BEL,CPI,ENRG,IDX2015,Feb-2019,119.4951
1096,BEL,CPI,ENRG,IDX2015,Mar-2019,120.7291
1097,BEL,CPI,ENRG,IDX2015,Apr-2019,118.8158
1098,BEL,CPI,ENRG,IDX2015,May-2019,119.563
1099,BEL,CPI,ENRG,IDX2015,Jun-2019,117.7629
1100,BEL,CPI,ENRG,IDX2015,Jul-2019,116.6308
1101,BEL,CPI,ENRG,IDX2015,Aug-2019,116.0081
1102,BEL,CPI,ENRG,IDX2015,Sep-2019,115.7025
1103,BEL,CPI,ENRG,IDX2015,Oct-2019,116.4044
1104,BEL,CPI,ENRG,IDX2015,Nov-2019,116.5629
1105,BEL,CPI,ENRG,IDX2015,Dec-2019,116.3478
1106,BEL,CPI,ENRG,IDX2015,Jan-2020,117.2874
1107,BEL,CPI,ENRG,IDX2015,Feb-2020,117.061
1108,BEL,CPI,ENRG,IDX2015,Mar-2020,116.6648
1109,BEL,CPI,ENRG,IDX2015,Apr-2020,116.3591
1110,BEL,CPI,ENRG,IDX2015,May-2020,116.0421
1111,BEL,CPI,ENRG,IDX2015,Jun-2020,105.2644
1112,BEL,CPI,ENRG,IDX2015,Jul-2020,105.9663
1113,BEL,CPI,ENRG,IDX2015,Aug-2020,105.9436
1114,BEL,CPI,ENRG,IDX2015,Sep-2020,105.0832
1115,BEL,CPI,ENRG,IDX2015,Oct-2020,106.238
1116,BEL,CPI,ENRG,IDX2015,Nov-2020,105.5361
1117,BEL,CPI,ENRG,IDX2015,Dec-2020,105.8983
1118,BEL,CPI,ENRG,IDX2015,Jan-2021,107.3361
1119,BEL,CPI,ENRG,IDX2015,Feb-2021,109.3626
1120,BEL,CPI,ENRG,IDX2015,Mar-2021,112.2269
1121,BEL,CPI,ENRG,IDX2015,Apr-2021,112.3967
1122,BEL,CPI,ENRG,IDX2015,May-2021,113.642
1123,BEL,CPI,ENRG,IDX2015,Jun-2021,116.6308
1124,BEL,CPI,ENRG,IDX2015,Jul-2021,121.4989
1125,BEL,CPI,ENRG,IDX2015,Aug-2021,124.1141
1126,BEL,CPI,ENRG,IDX2015,Sep-2021,125.4387
1127,BEL,CPI,ENRG,IDX2015,Oct-2021,139.0241
1128,BEL,CPI,ENRG,IDX2015,Nov-2021,154.5002
1129,BEL,CPI,ENRG,IDX2015,Dec-2021,150.3566
1130,BEL,CPI,ENRG,IDX2015,Jan-2022,172.6593
1131,BEL,CPI,ENRG,IDX2015,Feb-2022,176.067
1132,BEL,CPI,ENRG,IDX2015,Mar-2022,176.4406
1133,BEL,CPI,ENRG,IDX2015,Apr-2022,173.2141
1134,BEL,CPI,ENRG,IDX2015,May-2022,178.1954
1135,BEL,CPI,ENRG,IDX2015,Jun-2022,181.9314
1136,BEL,CPI,ENRG,IDX2015,Jul-2022,181.1729
1137,BEL,CPI,ENRG,IDX2015,Aug-2022,185.9391
1138,BEL,CPI,ENRG,IDX2015,Sep-2022,201.3812
1139,BEL,CPI,ENRG,IDX2015,Oct-2022,226.6501
1140,BEL,CPI,ENRG,IDX2015,Nov-2022,210.2343
1141,BEL,CPI,ENRG,IDX2015,Dec-2022,199.7962
